tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764006636358,1764006636866,0,508,-51,A72Aziz
1764006636636,1764006636151,1,-485,-50,A72Aziz
1764006636908,1764006637435,2,527,-51,A72Aziz
1764006637193,1764006637710,3,517,-48,A72Aziz
1764006637771,1764006637314,5,-457,-48,A72Aziz
1764006638072,1764006638557,6,485,-53,A72Aziz
1764006638369,1764006638840,7,471,-50,A72Aziz
1764006638967,1764006639402,9,435,-51,A72Aziz
1764006639269,1764006639679,10,410,-48,A72Aziz
1764006639566,1764006639986,11,420,-48,A72Aziz
1764006639862,1764006639258,12,-604,-51,A72Aziz
1764006640761,1764006640375,15,-386,-52,A72Aziz
1764006641057,1764006641733,16,676,-50,A72Aziz
1764006641355,1764006641030,17,-325,-55,A72Aziz
1764006641946,1764006642494,19,548,-50,A72Aziz
1764006642538,1764006642070,21,-468,-55,A72Aziz
1764006642836,1764006642338,22,-498,-52,A72Aziz
1764006643134,1764006643616,23,482,-49,A72Aziz
1764006643432,1764006643904,24,472,-49,A72Aziz
1764006643730,1764006643179,25,-551,-53,A72Aziz
1764006644027,1764006644460,26,433,-50,A72Aziz
1764006644324,1764006644754,27,430,-52,A72Aziz
1764006644913,1764006644330,29,-583,-48,A72Aziz
1764006646401,1764006646006,34,-395,-54,A72Aziz
1764006646696,1764006646280,35,-416,-48,A72Aziz
1764006646997,1764006647583,36,586,-52,A72Aziz
1764006647593,1764006647116,38,-477,-48,A72Aziz
1764006647889,1764006648406,39,517,-48,A72Aziz
1764006648185,1764006648812,40,627,-53,A72Aziz
1764006648484,1764006648970,41,486,-54,A72Aziz
1764006648785,1764006648250,42,-535,-48,A72Aziz
1764006649384,1764006649804,44,420,-49,A72Aziz
1764006649976,1764006650408,46,432,-56,A72Aziz
1764006650878,1764006651495,49,617,-53,A72Aziz
1764006651176,1764006651781,50,605,-49,A72Aziz
1764006651476,1764006651075,51,-401,-54,A72Aziz
1764006652073,1764006652627,53,554,-55,A72Aziz
1764006652367,1764006652903,54,536,-52,A72Aziz
1764006652665,1764006652186,55,-479,-50,A72Aziz
1764006652964,1764006653468,56,504,-51,A72Aziz
1764006653258,1764006653749,57,491,-53,A72Aziz
1764006653852,1764006653311,59,-541,-52,A72Aziz
1764006654147,1764006654584,60,437,-47,A72Aziz
1764006654445,1764006654901,61,456,-57,A72Aziz
1764006654740,1764006654146,62,-594,-48,A72Aziz
1764006655038,1764006655434,63,396,-54,A72Aziz
1764006656522,1764006656118,68,-404,-55,A72Aziz
1764006656822,1764006657403,69,581,-53,A72Aziz
1764006657119,1764006657682,70,563,-55,A72Aziz
1764006657419,1764006657966,71,547,-50,A72Aziz
1764006657717,1764006657252,72,-465,-55,A72Aziz
1764006658016,1764006658533,73,517,-56,A72Aziz
1764006658314,1764006658804,74,490,-55,A72Aziz
1764006658614,1764006658100,75,-514,-57,A72Aziz
1764006658914,1764006658372,76,-542,-57,A72Aziz
1764006659212,1764006659663,77,451,-54,A72Aziz
1764006659509,1764006659933,78,424,-56,A72Aziz
1764006659807,1764006659226,79,-581,-56,A72Aziz
1764006660102,1764006660524,80,422,-55,A72Aziz
1764006660399,1764006660772,81,373,-55,A72Aziz
1764006661279,1764006661899,84,620,-55,A72Aziz
1764006661577,1764006661225,85,-352,-55,A72Aziz
1764006661878,1764006662515,86,637,-58,A72Aziz
1764006662180,1764006662744,87,564,-59,A72Aziz
1764006662478,1764006662031,88,-447,-55,A72Aziz
1764006662775,1764006662307,89,-468,-56,A72Aziz
1764006663075,1764006663594,90,519,-60,A72Aziz
1764006663379,1764006663869,91,490,-60,A72Aziz
1764006663677,1764006663220,92,-457,-58,A72Aziz
1764006663975,1764006664433,93,458,-56,A72Aziz
1764006664274,1764006664711,94,437,-61,A72Aziz
1764006664575,1764006664994,95,419,-58,A72Aziz
1764006664873,1764006664271,96,-602,-60,A72Aziz
1764006666340,1764006666961,101,621,-60,A72Aziz
1764006666639,1764006666241,102,-398,-58,A72Aziz
1764006666944,1764006667522,103,578,-57,A72Aziz
1764006667239,1764006667811,104,572,-58,A72Aziz
1764006667537,1764006667090,105,-447,-61,A72Aziz
1764006668128,1764006668779,107,651,-58,A72Aziz
1764006668427,1764006668984,108,557,-56,A72Aziz
1764006668725,1764006668217,109,-508,-57,A72Aziz
1764006669021,1764006669496,110,475,-62,A72Aziz
1764006669319,1764006669785,111,466,-62,A72Aziz
1764006669619,1764006669060,112,-559,-62,A72Aziz
1764006669919,1764006669337,113,-582,-60,A72Aziz
1764006670217,1764006670620,114,403,-61,A72Aziz
1764006670517,1764006670924,115,407,-62,A72Aziz
1764006671994,1764006672597,120,603,-63,A72Aziz
1764006672290,1764006672873,121,583,-60,A72Aziz
1764006672588,1764006672154,122,-434,-59,A72Aziz
1764006673177,1764006673712,124,535,-61,A72Aziz
1764006673482,1764006673991,125,509,-65,A72Aziz
1764006673773,1764006673275,126,-498,-65,A72Aziz
1764006674374,1764006674839,128,465,-61,A72Aziz
1764006674665,1764006674125,129,-540,-65,A72Aziz
1764006674963,1764006675465,130,502,-61,A72Aziz
1764006675560,1764006675961,132,401,-65,A72Aziz
1764006675860,1764006675249,133,-611,-63,A72Aziz
1764006676755,1764006676372,136,-383,-61,A72Aziz
1764006677062,1764006677656,137,594,-60,A72Aziz
1764006677363,1764006677928,138,565,-60,A72Aziz
1764006677660,1764006677212,139,-448,-61,A72Aziz
1764006677957,1764006678494,140,537,-61,A72Aziz
1764006678253,1764006678789,141,536,-61,A72Aziz
1764006678548,1764006678056,142,-492,-66,A72Aziz
1764006679142,1764006679633,144,491,-66,A72Aziz
1764006679442,1764006679924,145,482,-61,A72Aziz
1764006679737,1764006679181,146,-556,-60,A72Aziz
1764006680033,1764006680460,147,427,-60,A72Aziz
1764006680332,1764006680747,148,415,-66,A72Aziz
1764006680628,1764006680026,149,-602,-62,A72Aziz
1764006681823,1764006682529,153,706,-64,A72Aziz
1764006682123,1764006682710,154,587,-58,A72Aziz
1764006682422,1764006682012,155,-410,-62,A72Aziz
1764006682716,1764006682272,156,-444,-62,A72Aziz
1764006683017,1764006683562,157,545,-56,A72Aziz
1764006683605,1764006683122,159,-483,-56,A72Aziz
1764006683901,1764006684402,160,501,-56,A72Aziz
1764006684201,1764006684684,161,483,-63,A72Aziz
1764006684502,1764006684962,162,460,-64,A72Aziz
1764006684801,1764006684265,163,-536,-63,A72Aziz
1764006685099,1764006685530,164,431,-58,A72Aziz
1764006685394,1764006685805,165,411,-64,A72Aziz
1764006685688,1764006685091,166,-597,-64,A72Aziz
1764006686885,1764006687510,170,625,-69,A72Aziz
1764006687181,1764006687777,171,596,-60,A72Aziz
1764006687477,1764006687050,172,-427,-66,A72Aziz
1764006688074,1764006688621,174,547,-63,A72Aziz
1764006688373,1764006688902,175,529,-63,A72Aziz
1764006688669,1764006688193,176,-476,-60,A72Aziz
1764006688967,1764006689463,177,496,-68,A72Aziz
1764006689265,1764006689770,178,505,-69,A72Aziz
1764006689564,1764006689069,179,-495,-64,A72Aziz
1764006689864,1764006689308,180,-556,-60,A72Aziz
1764006690160,1764006690591,181,431,-67,A72Aziz
1764006690456,1764006690884,182,428,-66,A72Aziz
1764006691050,1764006691429,184,379,-60,A72Aziz
1764006691939,1764006692553,187,614,-68,A72Aziz
1764006692537,1764006692117,189,-420,-59,A72Aziz
