tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764007795623,1764007796077,0,454,-62,A72Aziz
1764007795901,1764007796339,1,438,-67,A72Aziz
1764007796179,1764007796562,2,383,-61,A72Aziz
1764007796475,1764007796851,3,376,-67,A72Aziz
1764007796775,1764007797126,4,351,-66,A72Aziz
1764007797077,1764007797421,5,344,-62,A72Aziz
1764007797375,1764007797685,6,310,-65,A72Aziz
1764007797671,1764007798965,7,1294,-61,A72Aziz
1764007797968,1764007798255,8,287,-61,A72Aziz
1764007798558,1764007798877,10,319,-66,A72Aziz
1764007798855,1764007799092,11,237,-62,A72Aziz
1764007799455,1764007799718,13,263,-65,A72Aziz
1764007800357,1764007800775,16,418,-63,A72Aziz
1764007800657,1764007801077,17,420,-62,A72Aziz
1764007800954,1764007801356,18,402,-67,A72Aziz
1764007801246,1764007801663,19,417,-72,A72Aziz
1764007801537,1764007802916,20,1379,-63,A72Aziz
1764007801830,1764007802186,21,356,-64,A72Aziz
1764007802128,1764007802474,22,346,-66,A72Aziz
1764007802421,1764007802744,23,323,-64,A72Aziz
1764007803004,1764007803314,25,310,-70,A72Aziz
1764007803298,1764007803595,26,297,-66,A72Aziz
1764007803898,1764007804169,28,271,-68,A72Aziz
1764007804197,1764007804452,29,255,-67,A72Aziz
1764007804494,1764007804762,30,268,-65,A72Aziz
1764007804792,1764007805048,31,256,-65,A72Aziz
1764007805982,1764007806404,35,422,-66,A72Aziz
1764007806276,1764007806750,36,474,-67,A72Aziz
1764007806572,1764007807975,37,1403,-66,A72Aziz
1764007807169,1764007807532,39,363,-62,A72Aziz
1764007807467,1764007807819,40,352,-67,A72Aziz
1764007807754,1764007808107,41,353,-69,A72Aziz
1764007808054,1764007808370,42,316,-63,A72Aziz
1764007808356,1764007808652,43,296,-65,A72Aziz
1764007808950,1764007809225,45,275,-66,A72Aziz
1764007809254,1764007809499,46,245,-66,A72Aziz
1764007809552,1764007809788,47,236,-60,A72Aziz
1764007809848,1764007810066,48,218,-66,A72Aziz
1764007811036,1764007811465,52,429,-64,A72Aziz
1764007811627,1764007812158,54,531,-65,A72Aziz
1764007811925,1764007812316,55,391,-68,A72Aziz
1764007812222,1764007812620,56,398,-60,A72Aziz
1764007812814,1764007813151,58,337,-66,A72Aziz
1764007813112,1764007813433,59,321,-66,A72Aziz
1764007813405,1764007813715,60,310,-67,A72Aziz
1764007813999,1764007814277,62,278,-61,A72Aziz
1764007814296,1764007814565,63,269,-66,A72Aziz
1764007814592,1764007814847,64,255,-61,A72Aziz
1764007815476,1764007815688,67,212,-67,A72Aziz
1764007816667,1764007817096,71,429,-66,A72Aziz
1764007816964,1764007817387,72,423,-68,A72Aziz
1764007817260,1764007817657,73,397,-60,A72Aziz
1764007817559,1764007818944,74,1385,-60,A72Aziz
1764007817857,1764007818243,75,386,-60,A72Aziz
1764007818152,1764007818495,76,343,-65,A72Aziz
1764007818445,1764007818778,77,333,-67,A72Aziz
1764007818740,1764007819071,78,331,-59,A72Aziz
1764007819039,1764007819378,79,339,-59,A72Aziz
1764007819632,1764007819905,81,273,-56,A72Aziz
1764007819930,1764007820189,82,259,-64,A72Aziz
1764007820225,1764007820464,83,239,-63,A72Aziz
1764007820823,1764007821064,85,241,-59,A72Aziz
1764007821115,1764007821316,86,201,-66,A72Aziz
1764007822287,1764007822714,90,427,-61,A72Aziz
1764007822588,1764007823003,91,415,-67,A72Aziz
1764007822900,1764007823289,92,389,-64,A72Aziz
1764007823190,1764007823576,93,386,-61,A72Aziz
1764007823486,1764007823838,94,352,-62,A72Aziz
1764007823782,1764007824136,95,354,-64,A72Aziz
1764007824070,1764007824404,96,334,-61,A72Aziz
1764007824367,1764007824684,97,317,-63,A72Aziz
1764007824660,1764007825963,98,1303,-63,A72Aziz
1764007824955,1764007825243,99,288,-66,A72Aziz
1764007825252,1764007825570,100,318,-66,A72Aziz
1764007825548,1764007825889,101,341,-66,A72Aziz
1764007825844,1764007826184,102,340,-63,A72Aziz
1764007826142,1764007826389,103,247,-66,A72Aziz
1764007826438,1764007826654,104,216,-64,A72Aziz
1764007826736,1764007827941,105,1205,-66,A72Aziz
1764007827920,1764007828342,109,422,-67,A72Aziz
1764007828212,1764007828621,110,409,-66,A72Aziz
1764007828510,1764007828915,111,405,-66,A72Aziz
1764007828808,1764007829180,112,372,-67,A72Aziz
1764007829400,1764007829755,114,355,-66,A72Aziz
1764007829698,1764007830027,115,329,-63,A72Aziz
1764007829995,1764007830311,116,316,-63,A72Aziz
1764007830289,1764007830597,117,308,-63,A72Aziz
1764007830588,1764007830882,118,294,-64,A72Aziz
1764007830897,1764007831171,119,274,-65,A72Aziz
1764007831196,1764007831434,120,238,-67,A72Aziz
1764007831786,1764007832004,122,218,-64,A72Aziz
1764007832080,1764007832277,123,197,-66,A72Aziz
1764007833250,1764007833689,127,439,-60,A72Aziz
1764007833547,1764007834971,128,1424,-61,A72Aziz
1764007833845,1764007834246,129,401,-66,A72Aziz
1764007834434,1764007834813,131,379,-66,A72Aziz
1764007835026,1764007835374,133,348,-66,A72Aziz
1764007835322,1764007835686,134,364,-65,A72Aziz
1764007835611,1764007836942,135,1331,-65,A72Aziz
1764007836185,1764007836494,137,309,-61,A72Aziz
1764007836482,1764007836787,138,305,-63,A72Aziz
1764007836780,1764007837089,139,309,-67,A72Aziz
1764007837374,1764007837627,141,253,-64,A72Aziz
1764007837672,1764007837912,142,240,-60,A72Aziz
1764007837970,1764007838190,143,220,-66,A72Aziz
1764007839450,1764007839889,148,439,-64,A72Aziz
1764007839748,1764007840156,149,408,-60,A72Aziz
1764007840340,1764007840789,151,449,-61,A72Aziz
1764007840634,1764007841996,152,1362,-61,A72Aziz
1764007840931,1764007841289,153,358,-60,A72Aziz
1764007841227,1764007841555,154,328,-65,A72Aziz
1764007841523,1764007841870,155,347,-64,A72Aziz
1764007841818,1764007842158,156,340,-66,A72Aziz
1764007842117,1764007842404,157,287,-60,A72Aziz
1764007842415,1764007842686,158,271,-62,A72Aziz
1764007842711,1764007843977,159,1266,-64,A72Aziz
1764007843016,1764007843284,160,268,-63,A72Aziz
1764007843296,1764007843544,161,248,-62,A72Aziz
1764007843881,1764007844142,163,261,-66,A72Aziz
1764007844175,1764007844376,164,201,-71,A72Aziz
1764007845350,1764007845777,168,427,-62,A72Aziz
1764007845644,1764007846068,169,424,-62,A72Aziz
1764007845940,1764007846344,170,404,-63,A72Aziz
1764007846530,1764007847923,172,1393,-60,A72Aziz
1764007846826,1764007847185,173,359,-55,A72Aziz
1764007847126,1764007847465,174,339,-63,A72Aziz
1764007847424,1764007847748,175,324,-60,A72Aziz
1764007847721,1764007848035,176,314,-63,A72Aziz
1764007848020,1764007848310,177,290,-63,A72Aziz
1764007848316,1764007848588,178,272,-65,A72Aziz
1764007848905,1764007849175,180,270,-63,A72Aziz
1764007849500,1764007849735,182,235,-64,A72Aziz
1764007850691,1764007851118,186,427,-60,A72Aziz
1764007850988,1764007851405,187,417,-60,A72Aziz
1764007851585,1764007852988,189,1403,-63,A72Aziz
1764007851880,1764007852251,190,371,-67,A72Aziz
1764007852176,1764007852651,191,475,-63,A72Aziz
1764007852767,1764007853141,193,374,-65,A72Aziz
1764007853064,1764007853374,194,310,-65,A72Aziz
1764007853354,1764007853659,195,305,-64,A72Aziz
1764007853644,1764007854944,196,1300,-65,A72Aziz
1764007853937,1764007854271,197,334,-65,A72Aziz
1764007854229,1764007854500,198,271,-61,A72Aziz
1764007854522,1764007854781,199,259,-62,A72Aziz
