tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764056623277,1764056623664,0,387,-47,A72Aziz
1764056623838,1764056624225,2,387,-46,A72Aziz
1764056624425,1764056624793,4,368,-51,A72Aziz
1764056624720,1764056625074,5,354,-47,A72Aziz
1764056626783,1764056627320,12,537,-51,A72Aziz
1764056627078,1764056627604,13,526,-51,A72Aziz
1764056627957,1764056628442,16,485,-50,A72Aziz
1764056628252,1764056628727,17,475,-50,A72Aziz
1764056628547,1764056628003,18,-544,-49,A72Aziz
1764056629139,1764056629584,20,445,-52,A72Aziz
1764056629433,1764056629855,21,422,-48,A72Aziz
1764056629728,1764056630136,22,408,-54,A72Aziz
1764056630029,1764056630409,23,380,-50,A72Aziz
1764056630322,1764056630692,24,370,-54,A72Aziz
1764056630615,1764056630977,25,362,-50,A72Aziz
1764056631211,1764056631542,27,331,-51,A72Aziz
1764056632101,1764056632659,30,558,-54,A72Aziz
1764056632394,1764056632943,31,549,-49,A72Aziz
1764056632687,1764056633238,32,551,-49,A72Aziz
1764056632969,1764056633512,33,543,-55,A72Aziz
1764056633545,1764056634073,35,528,-51,A72Aziz
1764056634133,1764056634655,37,522,-50,A72Aziz
1764056634428,1764056634912,38,484,-49,A72Aziz
1764056634726,1764056635210,39,484,-53,A72Aziz
1764056635895,1764056636318,43,423,-55,A72Aziz
1764056636193,1764056636605,44,412,-55,A72Aziz
1764056636489,1764056636891,45,402,-53,A72Aziz
1764056636786,1764056637169,46,383,-51,A72Aziz
1764056637082,1764056637447,47,365,-49,A72Aziz
1764056637670,1764056637006,49,-664,-53,A72Aziz
1764056637954,1764056638294,50,340,-50,A72Aziz
1764056638240,1764056638595,51,355,-53,A72Aziz
1764056639413,1764056639993,55,580,-53,A72Aziz
1764056639709,1764056640263,56,554,-50,A72Aziz
1764056640308,1764056640824,58,516,-53,A72Aziz
1764056640596,1764056641105,59,509,-50,A72Aziz
1764056640881,1764056641385,60,504,-54,A72Aziz
1764056641168,1764056641674,61,506,-54,A72Aziz
1764056641449,1764056641941,62,492,-57,A72Aziz
1764056642039,1764056642533,64,494,-51,A72Aziz
1764056642339,1764056642787,65,448,-54,A72Aziz
1764056642633,1764056643066,66,433,-56,A72Aziz
1764056643224,1764056643637,68,413,-51,A72Aziz
1764056643521,1764056643915,69,394,-55,A72Aziz
1764056643813,1764056644194,70,381,-51,A72Aziz
1764056644995,1764056645322,74,327,-50,A72Aziz
1764056646175,1764056646731,78,556,-51,A72Aziz
1764056646469,1764056646005,79,-464,-52,A72Aziz
1764056647063,1764056647574,81,511,-49,A72Aziz
1764056647653,1764056648156,83,503,-56,A72Aziz
1764056648247,1764056648698,85,451,-49,A72Aziz
1764056648542,1764056648977,86,435,-57,A72Aziz
1764056648836,1764056649257,87,421,-50,A72Aziz
1764056649132,1764056649539,88,407,-56,A72Aziz
1764056649424,1764056649820,89,396,-56,A72Aziz
1764056649719,1764056650100,90,381,-51,A72Aziz
1764056650011,1764056650380,91,369,-50,A72Aziz
1764056650598,1764056650942,93,344,-52,A72Aziz
1764056650898,1764056651221,94,323,-51,A72Aziz
1764056652074,1764056652630,98,556,-50,A72Aziz
1764056652373,1764056652916,99,543,-49,A72Aziz
1764056652670,1764056653190,100,520,-55,A72Aziz
1764056652969,1764056653478,101,509,-55,A72Aziz
1764056653263,1764056653760,102,497,-50,A72Aziz
1764056653555,1764056654044,103,489,-56,A72Aziz
1764056653849,1764056654326,104,477,-56,A72Aziz
1764056654733,1764056655165,107,432,-56,A72Aziz
1764056655030,1764056655448,108,418,-56,A72Aziz
1764056655326,1764056655727,109,401,-51,A72Aziz
1764056655623,1764056655006,110,-617,-48,A72Aziz
1764056656214,1764056656574,112,360,-56,A72Aziz
1764056656508,1764056656860,113,352,-48,A72Aziz
1764056656802,1764056657133,114,331,-48,A72Aziz
1764056658261,1764056658821,119,560,-49,A72Aziz
1764056658558,1764056659121,120,563,-49,A72Aziz
1764056659148,1764056659659,122,511,-49,A72Aziz
1764056659443,1764056659947,123,504,-57,A72Aziz
1764056659739,1764056660226,124,487,-52,A72Aziz
1764056660035,1764056660512,125,477,-53,A72Aziz
1764056660331,1764056660788,126,457,-49,A72Aziz
1764056660926,1764056661355,128,429,-57,A72Aziz
1764056661518,1764056661908,130,390,-49,A72Aziz
1764056662103,1764056662477,132,374,-48,A72Aziz
1764056662401,1764056662760,133,359,-56,A72Aziz
1764056662697,1764056663050,134,353,-50,A72Aziz
1764056664170,1764056664730,139,560,-49,A72Aziz
1764056664767,1764056665289,141,522,-54,A72Aziz
1764056665363,1764056665853,143,490,-58,A72Aziz
1764056665655,1764056666134,144,479,-54,A72Aziz
1764056665951,1764056666426,145,475,-54,A72Aziz
1764056666252,1764056666690,146,438,-54,A72Aziz
1764056666842,1764056667265,148,423,-59,A72Aziz
1764056667135,1764056667544,149,409,-49,A72Aziz
1764056667426,1764056667830,150,404,-56,A72Aziz
1764056667723,1764056668102,151,379,-55,A72Aziz
1764056668021,1764056668392,152,371,-60,A72Aziz
1764056668312,1764056668659,153,347,-61,A72Aziz
1764056668609,1764056669059,154,450,-59,A72Aziz
1764056670374,1764056670917,160,543,-56,A72Aziz
1764056670664,1764056671192,161,528,-55,A72Aziz
1764056670956,1764056671471,162,515,-54,A72Aziz
1764056671245,1764056671754,163,509,-56,A72Aziz
1764056671536,1764056672040,164,504,-59,A72Aziz
1764056671827,1764056672323,165,496,-54,A72Aziz
1764056672125,1764056672607,166,482,-54,A72Aziz
1764056672715,1764056673183,168,468,-53,A72Aziz
1764056673007,1764056673450,169,443,-53,A72Aziz
1764056673298,1764056673730,170,432,-53,A72Aziz
1764056673590,1764056674009,171,419,-55,A72Aziz
1764056673886,1764056674285,172,399,-56,A72Aziz
1764056674185,1764056674573,173,388,-60,A72Aziz
1764056674771,1764056675147,175,376,-60,A72Aziz
1764056675069,1764056675411,176,342,-53,A72Aziz
1764056675365,1764056675690,177,325,-55,A72Aziz
1764056676845,1764056677383,182,538,-50,A72Aziz
1764056677434,1764056677946,184,512,-52,A72Aziz
1764056677730,1764056678221,185,491,-51,A72Aziz
1764056678029,1764056678509,186,480,-51,A72Aziz
1764056678327,1764056678790,187,463,-51,A72Aziz
1764056679219,1764056679631,190,412,-52,A72Aziz
1764056679510,1764056679910,191,400,-54,A72Aziz
1764056679805,1764056680194,192,389,-59,A72Aziz
1764056680100,1764056680474,193,374,-49,A72Aziz
1764056680394,1764056680761,194,367,-50,A72Aziz
1764056680987,1764056681322,196,335,-62,A72Aziz
1764056682170,1764056682733,200,563,-58,A72Aziz
1764056682464,1764056682006,201,-458,-58,A72Aziz
