tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764057726079,1764057726398,1,319,-66,A72Aziz
1764057726354,1764057726687,2,333,-72,A72Aziz
1764057726952,1764057727267,4,315,-71,A72Aziz
1764057727523,1764057727816,6,293,-69,A72Aziz
1764057727804,1764057728102,7,298,-67,A72Aziz
1764057728077,1764057728372,8,295,-68,A72Aziz
1764057728360,1764057728651,9,291,-68,A72Aziz
1764057728643,1764057728927,10,284,-69,A72Aziz
1764057728937,1764057729214,11,277,-70,A72Aziz
1764057729220,1764057729492,12,272,-69,A72Aziz
1764057730677,1764057731179,17,502,-70,A72Aziz
1764057730974,1764057731467,18,493,-68,A72Aziz
1764057731274,1764057731748,19,474,-73,A72Aziz
1764057731568,1764057732034,20,466,-68,A72Aziz
1764057731866,1764057732305,21,439,-70,A72Aziz
1764057732162,1764057732593,22,431,-79,A72Aziz
1764057732457,1764057732873,23,416,-70,A72Aziz
1764057732754,1764057733153,24,399,-66,A72Aziz
1764057733051,1764057733431,25,380,-65,A72Aziz
1764057733344,1764057733714,26,370,-69,A72Aziz
1764057733640,1764057733000,27,-640,-67,A72Aziz
1764057734235,1764057734556,29,321,-66,A72Aziz
1764057734530,1764057734839,30,309,-68,A72Aziz
1764057734827,1764057735113,31,286,-70,A72Aziz
1764057736013,1764057736517,35,504,-70,A72Aziz
1764057736309,1764057736803,36,494,-69,A72Aziz
1764057736606,1764057737117,37,511,-85,A72Aziz
1764057737198,1764057737648,39,450,-70,A72Aziz
1764057737492,1764057737952,40,460,-69,A72Aziz
1764057737790,1764057738208,41,418,-69,A72Aziz
1764057738085,1764057738497,42,412,-72,A72Aziz
1764057738383,1764057738772,43,389,-81,A72Aziz
1764057738680,1764057739057,44,377,-68,A72Aziz
1764057738980,1764057739336,45,356,-67,A72Aziz
1764057739275,1764057739617,46,342,-82,A72Aziz
1764057739569,1764057739900,47,331,-66,A72Aziz
1764057739867,1764057740176,48,309,-64,A72Aziz
1764057740164,1764057740463,49,299,-75,A72Aziz
1764057740459,1764057740738,50,279,-66,A72Aziz
1764057741355,1764057741863,53,508,-70,A72Aziz
1764057741648,1764057742143,54,495,-78,A72Aziz
1764057742236,1764057742716,56,480,-68,A72Aziz
1764057742830,1764057743271,58,441,-80,A72Aziz
1764057743124,1764057743549,59,425,-69,A72Aziz
1764057743422,1764057743834,60,412,-71,A72Aziz
1764057744610,1764057744964,64,354,-73,A72Aziz
1764057744901,1764057745242,65,341,-71,A72Aziz
1764057745187,1764057745529,66,342,-71,A72Aziz
1764057745483,1764057745802,67,319,-70,A72Aziz
1764057745778,1764057746086,68,308,-68,A72Aziz
1764057747851,1764057748336,75,485,-66,A72Aziz
1764057748443,1764057748900,77,457,-67,A72Aziz
