tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764057516839,1764057517171,1,332,-93,A72Aziz
1764057517395,1764057517723,3,328,-87,A72Aziz
1764057517680,1764057518019,4,339,-92,A72Aziz
1764057518256,1764057518564,6,308,-89,A72Aziz
1764057523760,1764057524206,25,446,-95,A72Aziz
1764057524642,1764057525034,28,392,-91,A72Aziz
1764057525502,1764057525877,31,375,-94,A72Aziz
1764057526092,1764057526457,33,365,-89,A72Aziz
1764057526386,1764057526752,34,366,-88,A72Aziz
1764057528741,1764057529249,42,508,-90,A72Aziz
1764057529619,1764057530116,45,497,-91,A72Aziz
1764057529912,1764057530373,46,461,-92,A72Aziz
1764057531660,1764057532094,52,434,-96,A72Aziz
1764057532234,1764057532622,54,388,-92,A72Aziz
1764057535120,1764057535455,64,335,-89,A72Aziz
1764057535418,1764057535742,65,324,-93,A72Aziz
1764057537485,1764057537976,72,491,-91,A72Aziz
1764057538379,1764057538809,75,430,-94,A72Aziz
1764057539265,1764057539671,78,406,-90,A72Aziz
1764057541015,1764057541342,84,327,-92,A72Aziz
1764057543375,1764057543897,92,522,-92,A72Aziz
1764057544261,1764057544720,95,459,-94,A72Aziz
1764057544554,1764057545012,96,458,-89,A72Aziz
1764057544847,1764057545280,97,433,-90,A72Aziz
1764057546021,1764057546404,101,383,-89,A72Aziz
1764057546612,1764057546997,103,385,-91,A72Aziz
1764057547503,1764057547811,106,308,-93,A72Aziz
1764057550459,1764057550943,116,484,-93,A72Aziz
1764057561710,1764057562156,154,446,-91,A72Aziz
1764057562302,1764057562730,156,428,-92,A72Aziz
1764057563486,1764057563892,160,406,-93,A72Aziz
1764057568235,1764057568627,176,392,-91,A72Aziz
1764057568836,1764057569260,178,424,-84,A72Aziz
1764057569134,1764057569468,179,334,-88,A72Aziz
1764057569430,1764057569765,180,335,-93,A72Aziz
1764057570019,1764057570304,182,285,-91,A72Aziz
1764057570902,1764057571445,185,543,-92,A72Aziz
1764057571800,1764057572277,188,477,-94,A72Aziz
1764057575288,1764057575704,200,416,-94,A72Aziz
