tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764056888715,1764056889155,0,440,-64,A72Aziz
1764056888992,1764056889465,1,473,-60,A72Aziz
1764056889267,1764056889721,2,454,-62,A72Aziz
1764056889551,1764056889991,3,440,-64,A72Aziz
1764056889835,1764056890279,4,444,-59,A72Aziz
1764056890120,1764056890564,5,444,-59,A72Aziz
1764056890683,1764056891121,7,438,-67,A72Aziz
1764056891271,1764056891685,9,414,-59,A72Aziz
1764056891837,1764056892259,11,422,-65,A72Aziz
1764056892117,1764056892535,12,418,-61,A72Aziz
1764056892399,1764056892815,13,416,-61,A72Aziz
1764056892969,1764056893376,15,407,-66,A72Aziz
1764056893533,1764056893936,17,403,-62,A72Aziz
1764056894096,1764056894516,19,420,-65,A72Aziz
1764056894663,1764056895062,21,399,-66,A72Aziz
1764056894947,1764056895355,22,408,-64,A72Aziz
1764056895232,1764056895625,23,393,-77,A72Aziz
1764056895519,1764056895933,24,414,-65,A72Aziz
1764056895820,1764056896223,25,403,-63,A72Aziz
1764056896111,1764056896464,26,353,-66,A72Aziz
1764056896409,1764056896761,27,352,-64,A72Aziz
1764056896704,1764056897039,28,335,-69,A72Aziz
1764056897001,1764056897311,29,310,-68,A72Aziz
1764056898165,1764056898719,33,554,-64,A72Aziz
1764056898460,1764056898004,34,-456,-65,A72Aziz
1764056898752,1764056899295,35,543,-64,A72Aziz
1764056899038,1764056899558,36,520,-64,A72Aziz
1764056899338,1764056899841,37,503,-64,A72Aziz
1764056899927,1764056900406,39,479,-65,A72Aziz
1764056900222,1764056900685,40,463,-67,A72Aziz
1764056900515,1764056900971,41,456,-67,A72Aziz
1764056900809,1764056901248,42,439,-67,A72Aziz
1764056901405,1764056901859,44,454,-69,A72Aziz
1764056901992,1764056902370,46,378,-68,A72Aziz
1764056902287,1764056902649,47,362,-61,A72Aziz
1764056902581,1764056902931,48,350,-68,A72Aziz
1764056904939,1764056905470,56,531,-65,A72Aziz
1764056905233,1764056905750,57,517,-65,A72Aziz
1764056905532,1764056906022,58,490,-63,A72Aziz
1764056906121,1764056906612,60,491,-66,A72Aziz
1764056906710,1764056907157,62,447,-61,A72Aziz
1764056907009,1764056907436,63,427,-62,A72Aziz
1764056907300,1764056907719,64,419,-64,A72Aziz
1764056907885,1764056908303,66,418,-65,A72Aziz
1764056908473,1764056908833,68,360,-64,A72Aziz
1764056909651,1764056909966,72,315,-65,A72Aziz
1764056910535,1764056911092,75,557,-65,A72Aziz
1764056910830,1764056911378,76,548,-66,A72Aziz
1764056911125,1764056911662,77,537,-65,A72Aziz
1764056911720,1764056912212,79,492,-65,A72Aziz
1764056912310,1764056912776,81,466,-65,A72Aziz
1764056913201,1764056913619,84,418,-60,A72Aziz
1764056913791,1764056914190,86,399,-65,A72Aziz
1764056914083,1764056914492,87,409,-64,A72Aziz
1764056914379,1764056914745,88,366,-62,A72Aziz
1764056914678,1764056915026,89,348,-61,A72Aziz
1764056915266,1764056915600,91,334,-64,A72Aziz
1764056916454,1764056916996,95,542,-67,A72Aziz
1764056916747,1764056917281,96,534,-64,A72Aziz
1764056917038,1764056917558,97,520,-63,A72Aziz
1764056917332,1764056917836,98,504,-64,A72Aziz
1764056917619,1764056918136,99,517,-67,A72Aziz
1764056917902,1764056918407,100,505,-65,A72Aziz
1764056918184,1764056918680,101,496,-65,A72Aziz
1764056918470,1764056918989,102,519,-64,A72Aziz
1764056918753,1764056919245,103,492,-63,A72Aziz
1764056919034,1764056919533,104,499,-62,A72Aziz
1764056919318,1764056919822,105,504,-63,A72Aziz
1764056919892,1764056920383,107,491,-63,A72Aziz
1764056920191,1764056920657,108,466,-62,A72Aziz
1764056920779,1764056921249,110,470,-63,A72Aziz
1764056921077,1764056921493,111,416,-61,A72Aziz
1764056921942,1764056922352,114,410,-64,A72Aziz
1764056922239,1764056922621,115,382,-61,A72Aziz
1764056922522,1764056922904,116,382,-65,A72Aziz
1764056922819,1764056923182,117,363,-60,A72Aziz
1764056923409,1764056923743,119,334,-67,A72Aziz
1764056923705,1764056924028,120,323,-67,A72Aziz
1764056923997,1764056924319,121,322,-60,A72Aziz
1764056925175,1764056925717,125,542,-62,A72Aziz
1764056925472,1764056925993,126,521,-61,A72Aziz
1764056925770,1764056926276,127,506,-62,A72Aziz
1764056926063,1764056926558,128,495,-62,A72Aziz
1764056927247,1764056927686,132,439,-62,A72Aziz
1764056927839,1764056928248,134,409,-69,A72Aziz
1764056928431,1764056928808,136,377,-59,A72Aziz
1764056929022,1764056929368,138,346,-64,A72Aziz
1764056929598,1764056929946,140,348,-63,A72Aziz
1764056931075,1764056931632,145,557,-71,A72Aziz
1764056932254,1764056932744,149,490,-65,A72Aziz
1764056932844,1764056933311,151,467,-61,A72Aziz
1764056934034,1764056934432,155,398,-63,A72Aziz
1764056934332,1764056934717,156,385,-62,A72Aziz
1764056934926,1764056935275,158,349,-66,A72Aziz
1764056935518,1764056935850,160,332,-64,A72Aziz
1764056936699,1764056937247,164,548,-62,A72Aziz
1764056936995,1764056937536,165,541,-66,A72Aziz
1764056937288,1764056937807,166,519,-60,A72Aziz
1764056937586,1764056938088,167,502,-58,A72Aziz
1764056937883,1764056938388,168,505,-59,A72Aziz
1764056938184,1764056938651,169,467,-60,A72Aziz
1764056938475,1764056938939,170,464,-60,A72Aziz
1764056938769,1764056939211,171,442,-66,A72Aziz
