tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764001245441,1764001245074,2,-367,-76,A72Aziz
1764001245729,1764001246359,3,630,-80,A72Aziz
1764001246591,1764001246297,6,-294,-73,A72Aziz
1764001246880,1764001247597,7,717,-77,A72Aziz
1764001247162,1764001247761,8,599,-68,A72Aziz
1764001247731,1764001247338,10,-393,-73,A72Aziz
1764001248014,1764001248614,11,600,-76,A72Aziz
1764001249495,1764001249290,16,-205,-66,A72Aziz
1764001249791,1764001250576,17,785,-69,A72Aziz
1764001250087,1764001250860,18,773,-75,A72Aziz
1764001250973,1764001251705,21,732,-73,A72Aziz
1764001251268,1764001251980,22,712,-73,A72Aziz
1764001252156,1764001252831,25,675,-78,A72Aziz
1764001252453,1764001252106,26,-347,-78,A72Aziz
1764001253045,1764001253669,28,624,-79,A72Aziz
1764001253344,1764001253997,29,653,-77,A72Aziz
1764001253642,1764001253247,30,-395,-79,A72Aziz
1764001256299,1764001256048,39,-251,-78,A72Aziz
1764001256586,1764001256324,40,-262,-71,A72Aziz
1764001257153,1764001257888,42,735,-69,A72Aziz
1764001257722,1764001258455,44,733,-74,A72Aziz
1764001258004,1764001258732,45,728,-70,A72Aziz
1764001258889,1764001259579,48,690,-75,A72Aziz
1764001259483,1764001259154,50,-329,-68,A72Aziz
1764001259780,1764001260426,51,646,-69,A72Aziz
1764001260366,1764001260987,53,621,-67,A72Aziz
1764001261254,1764001261823,56,569,-68,A72Aziz
1764001262433,1764001262240,60,-193,-68,A72Aziz
1764001262731,1764001263515,61,784,-68,A72Aziz
1764001263323,1764001263073,63,-250,-70,A72Aziz
1764001263618,1764001264357,64,739,-69,A72Aziz
1764001263910,1764001264636,65,726,-73,A72Aziz
1764001264205,1764001264915,66,710,-71,A72Aziz
1764001264501,1764001264204,67,-297,-66,A72Aziz
1764001265687,1764001265352,71,-335,-70,A72Aziz
1764001265981,1764001266637,72,656,-73,A72Aziz
1764001266573,1764001266168,74,-405,-72,A72Aziz
1764001266867,1764001267448,75,581,-72,A72Aziz
1764001267164,1764001267734,76,570,-73,A72Aziz
1764001268345,1764001268134,80,-211,-70,A72Aziz
1764001268643,1764001269414,81,771,-67,A72Aziz
1764001268939,1764001269710,82,771,-71,A72Aziz
1764001270121,1764001270822,86,701,-71,A72Aziz
1764001270417,1764001270112,87,-305,-72,A72Aziz
1764001270717,1764001271392,88,675,-66,A72Aziz
1764001271013,1764001271695,89,682,-67,A72Aziz
1764001271301,1764001271953,90,652,-73,A72Aziz
1764001271892,1764001272516,92,624,-66,A72Aziz
1764001272189,1764001272795,93,606,-72,A72Aziz
1764001272485,1764001272077,94,-408,-71,A72Aziz
1764001272783,1764001273358,95,575,-67,A72Aziz
1764001274267,1764001275514,100,1247,-72,A72Aziz
1764001274857,1764001275630,102,773,-66,A72Aziz
1764001275449,1764001275168,104,-281,-73,A72Aziz
1764001275746,1764001276460,105,714,-73,A72Aziz
1764001276042,1764001276732,106,690,-73,A72Aziz
1764001276617,1764001276293,108,-324,-66,A72Aziz
1764001277207,1764001277066,110,-141,-73,A72Aziz
1764001277503,1764001277181,111,-322,-72,A72Aziz
1764001277799,1764001278424,112,625,-72,A72Aziz
1764001281020,1764001281795,123,775,-67,A72Aziz
1764001282155,1764001282922,127,767,-67,A72Aziz
1764001283028,1764001283829,130,801,-73,A72Aziz
1764001283327,1764001283065,131,-262,-72,A72Aziz
1764001284516,1764001285697,135,1181,-72,A72Aziz
1764001285701,1764001285296,139,-405,-66,A72Aziz
1764001287478,1764001287262,145,-216,-69,A72Aziz
1764001287772,1764001288543,146,771,-74,A72Aziz
1764001288664,1764001289397,149,733,-67,A72Aziz
1764001288959,1764001289697,150,738,-67,A72Aziz
1764001289853,1764001290512,153,659,-68,A72Aziz
1764001291050,1764001291640,157,590,-69,A72Aziz
1764001291340,1764001291928,158,588,-69,A72Aziz
1764001293099,1764001293885,164,786,-69,A72Aziz
1764001293394,1764001293169,165,-225,-71,A72Aziz
1764001294280,1764001294018,168,-262,-69,A72Aziz
1764001294574,1764001295934,169,1360,-80,A72Aziz
1764001295461,1764001295142,172,-319,-68,A72Aziz
1764001295756,1764001296597,173,841,-78,A72Aziz
1764001296644,1764001296264,176,-380,-87,A72Aziz
1764001297824,1764001298464,180,640,-66,A72Aziz
1764001298715,1764001299510,183,795,-65,A72Aziz
1764001299882,1764001300097,187,215,-71,A72Aziz
1764001301072,1764001301954,191,882,-67,A72Aziz
1764001302215,1764001302885,195,670,-76,A72Aziz
1764001303396,1764001303012,199,-384,-66,A72Aziz
