tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764000884796,1764000885532,2,736,-62,A72Aziz
1764000885085,1764000885814,3,729,-60,A72Aziz
1764000885967,1764000886654,6,687,-68,A72Aziz
1764000886259,1764000886937,7,678,-61,A72Aziz
1764000887154,1764000887782,10,628,-61,A72Aziz
1764000890435,1764000890233,21,-202,-60,A72Aziz
1764000891611,1764000891284,25,-327,-60,A72Aziz
1764000892782,1764000893406,29,624,-60,A72Aziz
1764000895059,1764000895657,37,598,-62,A72Aziz
1764000895955,1764000896778,40,823,-62,A72Aziz
1764000897145,1764000897902,44,757,-60,A72Aziz
1764000898037,1764000898746,47,709,-67,A72Aziz
1764000898329,1764000898032,48,-297,-63,A72Aziz
1764000899219,1764000899938,51,719,-60,A72Aziz
1764000899518,1764000899239,52,-279,-61,A72Aziz
1764000900388,1764000900001,55,-387,-69,A72Aziz
1764000900688,1764000900340,56,-348,-69,A72Aziz
1764000902466,1764000902246,62,-220,-68,A72Aziz
1764000902760,1764000903529,63,769,-60,A72Aziz
1764000903654,1764000904373,66,719,-60,A72Aziz
1764000904848,1764000905606,70,758,-69,A72Aziz
1764000905141,1764000905778,71,637,-66,A72Aziz
1764000906029,1764000906619,74,590,-62,A72Aziz
1764000906326,1764000906907,75,581,-61,A72Aziz
1764000908096,1764000908873,81,777,-60,A72Aziz
1764000908390,1764000908160,82,-230,-59,A72Aziz
1764000909276,1764000909999,85,723,-62,A72Aziz
1764000909571,1764000909285,86,-286,-62,A72Aziz
1764000910457,1764000910129,89,-328,-65,A72Aziz
1764000911634,1764000911251,93,-383,-61,A72Aziz
1764000913699,1764000914494,100,795,-62,A72Aziz
1764000914879,1764000915628,104,749,-68,A72Aziz
1764000916068,1764000916753,108,685,-61,A72Aziz
1764000917253,1764000917874,112,621,-62,A72Aziz
1764000918109,1764000918714,115,605,-66,A72Aziz
1764000918402,1764000918994,116,592,-67,A72Aziz
1764000920198,1764000920339,122,141,-59,A72Aziz
1764000921382,1764000921096,126,-286,-68,A72Aziz
1764000921685,1764000922370,127,685,-68,A72Aziz
1764000922569,1764000922212,130,-357,-60,A72Aziz
1764000922868,1764000923493,131,625,-60,A72Aziz
1764000923753,1764000923345,134,-408,-67,A72Aziz
1764000924943,1764000925747,138,804,-60,A72Aziz
1764000925834,1764000926639,141,805,-61,A72Aziz
1764000926133,1764000926871,142,738,-62,A72Aziz
1764000927018,1764000927715,145,697,-66,A72Aziz
1764000928218,1764000928846,149,628,-62,A72Aziz
1764000930285,1764000930095,156,-190,-60,A72Aziz
1764000930576,1764000931376,157,800,-61,A72Aziz
1764000931456,1764000931225,160,-231,-60,A72Aziz
1764000932639,1764000932337,164,-302,-61,A72Aziz
1764000933820,1764000934461,168,641,-61,A72Aziz
1764000935005,1764000935592,172,587,-66,A72Aziz
1764000936151,1764000936739,176,588,-61,A72Aziz
1764000937910,1764000938681,182,771,-61,A72Aziz
1764000938207,1764000938970,183,763,-61,A72Aziz
1764000939092,1764000939939,186,847,-66,A72Aziz
1764000939389,1764000939139,187,-250,-69,A72Aziz
1764000940275,1764000940935,190,660,-60,A72Aziz
1764000940574,1764000940214,191,-360,-60,A72Aziz
1764000941463,1764000941058,194,-405,-69,A72Aziz
1764000941758,1764000941336,195,-422,-61,A72Aziz
