tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764001608949,1764001609716,4,767,-65,A72Aziz
1764001609542,1764001609316,6,-226,-71,A72Aziz
1764001610133,1764001610996,8,863,-69,A72Aziz
1764001610725,1764001611416,10,691,-63,A72Aziz
1764001611902,1764001612528,14,626,-69,A72Aziz
1764001612198,1764001612816,15,618,-60,A72Aziz
1764001612787,1764001613416,17,629,-60,A72Aziz
1764001613085,1764001613688,18,603,-65,A72Aziz
1764001613380,1764001613935,19,555,-58,A72Aziz
1764001615968,1764001616746,28,778,-64,A72Aziz
1764001616251,1764001616029,29,-222,-63,A72Aziz
1764001616540,1764001616316,30,-224,-72,A72Aziz
1764001616841,1764001617593,31,752,-62,A72Aziz
1764001617136,1764001617877,32,741,-65,A72Aziz
1764001617432,1764001617149,33,-283,-60,A72Aziz
1764001618025,1764001618714,35,689,-62,A72Aziz
1764001618320,1764001618016,36,-304,-64,A72Aziz
1764001618616,1764001618276,37,-340,-62,A72Aziz
1764001618908,1764001619564,38,656,-65,A72Aziz
1764001619203,1764001619842,39,639,-69,A72Aziz
1764001619499,1764001619124,40,-375,-69,A72Aziz
1764001619795,1764001620404,41,609,-70,A72Aziz
1764001620674,1764001620316,44,-358,-63,A72Aziz
1764001620971,1764001621530,45,559,-65,A72Aziz
1764001622461,1764001622265,50,-196,-67,A72Aziz
1764001622756,1764001623516,51,760,-62,A72Aziz
1764001623926,1764001624620,55,694,-63,A72Aziz
1764001624217,1764001624301,56,84,-63,A72Aziz
1764001625111,1764001625816,59,705,-62,A72Aziz
1764001625408,1764001625030,60,-378,-62,A72Aziz
1764001626300,1764001626873,63,573,-65,A72Aziz
1764001626596,1764001626156,64,-440,-76,A72Aziz
1764001628370,1764001628127,70,-243,-69,A72Aziz
1764001628666,1764001629416,71,750,-71,A72Aziz
1764001628957,1764001629681,72,724,-62,A72Aziz
1764001629551,1764001629242,74,-309,-62,A72Aziz
1764001630737,1764001631403,78,666,-63,A72Aziz
1764001631033,1764001631652,79,619,-70,A72Aziz
1764001631325,1764001631936,80,611,-71,A72Aziz
1764001631620,1764001631213,81,-407,-73,A72Aziz
1764001631914,1764001632504,82,590,-74,A72Aziz
1764001633393,1764001633186,87,-207,-65,A72Aziz
1764001633691,1764001634474,88,783,-64,A72Aziz
1764001633991,1764001634743,89,752,-63,A72Aziz
1764001634885,1764001635601,92,716,-65,A72Aziz
1764001635180,1764001635877,93,697,-64,A72Aziz
1764001636069,1764001636712,96,643,-65,A72Aziz
1764001636364,1764001636999,97,635,-63,A72Aziz
1764001636663,1764001636285,98,-378,-71,A72Aziz
1764001637256,1764001637843,100,587,-66,A72Aziz
1764001638412,1764001638967,104,555,-62,A72Aziz
1764001639546,1764001639116,108,-430,-67,A72Aziz
1764001639830,1764001640372,109,542,-77,A72Aziz
1764001641573,1764001641344,115,-229,-62,A72Aziz
1764001641872,1764001642620,116,748,-68,A72Aziz
1764001642468,1764001643416,118,948,-63,A72Aziz
1764001642764,1764001643657,119,893,-62,A72Aziz
1764001643355,1764001643028,121,-327,-62,A72Aziz
1764001643943,1764001644586,123,643,-68,A72Aziz
1764001644240,1764001644880,124,640,-70,A72Aziz
1764001645122,1764001645950,127,828,-74,A72Aziz
1764001645421,1764001645232,128,-189,-74,A72Aziz
1764001645717,1764001645346,129,-371,-65,A72Aziz
1764001647193,1764001647977,134,784,-61,A72Aziz
1764001647486,1764001647248,135,-238,-68,A72Aziz
1764001648375,1764001648092,138,-283,-62,A72Aziz
1764001648973,1764001649661,140,688,-64,A72Aziz
1764001649846,1764001650502,143,656,-62,A72Aziz
1764001650654,1764001650342,146,-312,-72,A72Aziz
1764001650923,1764001651623,147,700,-68,A72Aziz
1764001651190,1764001651907,148,717,-64,A72Aziz
1764001651463,1764001651182,149,-281,-64,A72Aziz
1764001651731,1764001652461,150,730,-61,A72Aziz
1764001653069,1764001653588,155,519,-70,A72Aziz
1764001653605,1764001653152,157,-453,-66,A72Aziz
1764001654140,1764001654712,159,572,-65,A72Aziz
1764001654679,1764001654283,161,-396,-70,A72Aziz
1764001654951,1764001655559,162,608,-79,A72Aziz
1764001655226,1764001655989,163,763,-72,A72Aziz
1764001655520,1764001655121,164,-399,-58,A72Aziz
1764001656113,1764001656682,166,569,-68,A72Aziz
1764001656407,1764001656973,167,566,-69,A72Aziz
1764001658483,1764001658316,174,-167,-69,A72Aziz
1764001659376,1764001659116,177,-260,-68,A72Aziz
1764001659671,1764001659345,178,-326,-60,A72Aziz
1764001660263,1764001660900,180,637,-74,A72Aziz
1764001660559,1764001660216,181,-343,-60,A72Aziz
1764001661737,1764001661309,185,-428,-69,A72Aziz
1764001662036,1764001662590,186,554,-68,A72Aziz
1764001665188,1764001665970,197,782,-75,A72Aziz
1764001665485,1764001665248,198,-237,-59,A72Aziz
1764001666079,1764001666808,200,729,-60,A72Aziz
