tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764001372994,1764001373758,0,764,-67,A72Aziz
1764001373267,1764001373044,1,-223,-69,A72Aziz
1764001373543,1764001373316,2,-227,-66,A72Aziz
1764001373839,1764001374604,3,765,-74,A72Aziz
1764001374133,1764001374886,4,753,-66,A72Aziz
1764001374729,1764001375446,6,717,-75,A72Aziz
1764001375318,1764001375009,8,-309,-65,A72Aziz
1764001376207,1764001376854,11,647,-67,A72Aziz
1764001376506,1764001376131,12,-375,-69,A72Aziz
1764001376796,1764001377421,13,625,-70,A72Aziz
1764001377681,1764001377279,16,-402,-64,A72Aziz
1764001379160,1764001379950,21,790,-91,A72Aziz
1764001380922,1764001381847,27,925,-72,A72Aziz
1764001381513,1764001381200,29,-313,-73,A72Aziz
1764001382099,1764001382793,31,694,-69,A72Aziz
1764001382395,1764001382042,32,-353,-64,A72Aziz
1764001383282,1764001383887,35,605,-66,A72Aziz
1764001385340,1764001385135,42,-205,-63,A72Aziz
1764001386496,1764001386259,46,-237,-65,A72Aziz
1764001387354,1764001387100,49,-254,-74,A72Aziz
1764001387640,1764001388385,50,745,-70,A72Aziz
1764001388509,1764001388228,53,-281,-63,A72Aziz
1764001388804,1764001389513,54,709,-74,A72Aziz
1764001389691,1764001389348,57,-343,-65,A72Aziz
1764001389989,1764001390635,58,646,-66,A72Aziz
1764001390283,1764001390919,59,636,-67,A72Aziz
1764001391174,1764001391757,62,583,-67,A72Aziz
1764001391468,1764001391038,63,-430,-73,A72Aziz
1764001392650,1764001393444,67,794,-72,A72Aziz
1764001392943,1764001393723,68,780,-64,A72Aziz
1764001393244,1764001393005,69,-239,-64,A72Aziz
1764001394133,1764001394960,72,827,-75,A72Aziz
1764001394429,1764001394130,73,-299,-69,A72Aziz
1764001394722,1764001395414,74,692,-64,A72Aziz
1764001395017,1764001395704,75,687,-64,A72Aziz
1764001395313,1764001395979,76,666,-66,A72Aziz
1764001395608,1764001395256,77,-352,-69,A72Aziz
1764001396495,1764001396097,80,-398,-68,A72Aziz
1764001396791,1764001397385,81,594,-67,A72Aziz
1764001398575,1764001399610,87,1035,-69,A72Aziz
1764001398872,1764001399723,88,851,-65,A72Aziz
1764001399461,1764001399197,90,-264,-74,A72Aziz
1764001399758,1764001400473,91,715,-80,A72Aziz
1764001400056,1764001400763,92,707,-76,A72Aziz
1764001400946,1764001401603,95,657,-73,A72Aziz
1764001402128,1764001402722,99,594,-74,A72Aziz
1764001403897,1764001404910,105,1013,-66,A72Aziz
1764001404193,1764001404024,106,-169,-69,A72Aziz
1764001404483,1764001404267,107,-216,-67,A72Aziz
1764001405327,1764001405104,110,-223,-71,A72Aziz
1764001405604,1764001406390,111,786,-71,A72Aziz
1764001405889,1764001406663,112,774,-75,A72Aziz
1764001406472,1764001406257,114,-215,-69,A72Aziz
1764001407647,1764001407350,118,-297,-63,A72Aziz
1764001408234,1764001408061,120,-173,-70,A72Aziz
1764001408820,1764001409476,122,656,-66,A72Aziz
1764001409113,1764001409769,123,656,-69,A72Aziz
1764001409404,1764001409042,124,-362,-63,A72Aziz
1764001409696,1764001410489,125,793,-67,A72Aziz
1764001409989,1764001410605,126,616,-64,A72Aziz
1764001410282,1764001410895,127,613,-76,A72Aziz
1764001410584,1764001410169,128,-415,-66,A72Aziz
1764001410877,1764001411635,129,758,-69,A72Aziz
1764001411169,1764001411750,130,581,-63,A72Aziz
1764001412933,1764001413692,136,759,-69,A72Aziz
1764001413226,1764001413975,137,749,-68,A72Aziz
1764001413520,1764001413262,138,-258,-70,A72Aziz
1764001413814,1764001414582,139,768,-63,A72Aziz
1764001414108,1764001414991,140,883,-64,A72Aziz
1764001414403,1764001414108,141,-295,-68,A72Aziz
1764001414702,1764001415383,142,681,-72,A72Aziz
1764001415289,1764001415948,144,659,-74,A72Aziz
1764001415581,1764001415228,145,-353,-64,A72Aziz
1764001416475,1764001416074,148,-401,-63,A72Aziz
1764001416774,1764001416351,149,-423,-72,A72Aziz
1764001417068,1764001417635,150,567,-67,A72Aziz
1764001418543,1764001418316,155,-227,-67,A72Aziz
1764001419137,1764001419888,157,751,-65,A72Aziz
1764001419435,1764001419217,158,-218,-69,A72Aziz
1764001419733,1764001420447,159,714,-65,A72Aziz
1764001420324,1764001420006,161,-318,-68,A72Aziz
1764001420619,1764001420288,162,-331,-70,A72Aziz
1764001420913,1764001421571,163,658,-77,A72Aziz
1764001421211,1764001421853,164,642,-64,A72Aziz
1764001422100,1764001422695,167,595,-68,A72Aziz
1764001422690,1764001422259,169,-431,-73,A72Aziz
1764001424167,1764001424940,174,773,-72,A72Aziz
1764001424468,1764001424221,175,-247,-64,A72Aziz
1764001424754,1764001425507,176,753,-68,A72Aziz
1764001425893,1764001426652,180,759,-65,A72Aziz
1764001426459,1764001426189,182,-270,-64,A72Aziz
1764001426729,1764001427479,183,750,-68,A72Aziz
1764001427003,1764001427753,184,750,-65,A72Aziz
1764001427594,1764001427319,186,-275,-69,A72Aziz
1764001428777,1764001429441,190,664,-64,A72Aziz
1764001429673,1764001429289,193,-384,-67,A72Aziz
1764001429969,1764001430575,194,606,-72,A72Aziz
1764001430557,1764001430137,196,-420,-65,A72Aziz
