tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764001084417,1764001084211,3,-206,-77,A72Aziz
1764001084717,1764001085498,4,781,-68,A72Aziz
1764001085608,1764001085333,7,-275,-68,A72Aziz
1764001085905,1764001086612,8,707,-67,A72Aziz
1764001086791,1764001087482,11,691,-68,A72Aziz
1764001087078,1764001087739,12,661,-67,A72Aziz
1764001088257,1764001088864,16,607,-70,A72Aziz
1764001090039,1764001090828,22,789,-72,A72Aziz
1764001091223,1764001091968,26,745,-69,A72Aziz
1764001091520,1764001091246,27,-274,-69,A72Aziz
1764001093600,1764001093308,34,-292,-72,A72Aziz
1764001095685,1764001096482,41,797,-68,A72Aziz
1764001096888,1764001097587,45,699,-70,A72Aziz
1764001098066,1764001098704,49,638,-67,A72Aziz
1764001099256,1764001099830,53,574,-70,A72Aziz
1764001101035,1764001101799,59,764,-72,A72Aziz
1764001101331,1764001102486,60,1155,-68,A72Aziz
1764001102220,1764001102928,63,708,-72,A72Aziz
1764001102517,1764001102205,64,-312,-69,A72Aziz
1764001103707,1764001103338,68,-369,-70,A72Aziz
1764001104300,1764001104901,70,601,-68,A72Aziz
1764001104597,1764001104176,71,-421,-71,A72Aziz
1764001105783,1764001106587,75,804,-68,A72Aziz
1764001106668,1764001107431,78,763,-70,A72Aziz
1764001106961,1764001107712,79,751,-69,A72Aziz
1764001108144,1764001108833,83,689,-67,A72Aziz
1764001109030,1764001109675,86,645,-70,A72Aziz
1764001109328,1764001109960,87,632,-70,A72Aziz
1764001110215,1764001110804,90,589,-66,A72Aziz
1764001110501,1764001110082,91,-419,-69,A72Aziz
1764001112274,1764001112055,97,-219,-71,A72Aziz
1764001113460,1764001113176,101,-284,-70,A72Aziz
1764001114645,1764001114299,105,-346,-69,A72Aziz
1764001115829,1764001116432,109,603,-69,A72Aziz
1764001117896,1764001118680,116,784,-71,A72Aziz
1764001119078,1764001119988,120,910,-69,A72Aziz
1764001120264,1764001120929,124,665,-70,A72Aziz
1764001121138,1764001121769,127,631,-71,A72Aziz
1764001121435,1764001121048,128,-387,-70,A72Aziz
1764001122590,1764001122279,132,-311,-67,A72Aziz
1764001123482,1764001123298,135,-184,-68,A72Aziz
1764001124381,1764001125391,138,1010,-68,A72Aziz
1764001124675,1764001125504,139,829,-70,A72Aziz
1764001125565,1764001125268,142,-297,-72,A72Aziz
1764001125861,1764001126547,143,686,-72,A72Aziz
1764001126755,1764001127395,146,640,-72,A72Aziz
1764001127935,1764001128521,150,586,-71,A72Aziz
1764001129124,1764001129932,154,808,-70,A72Aziz
1764001130018,1764001130766,157,748,-70,A72Aziz
1764001131201,1764001131073,161,-128,-69,A72Aziz
1764001132094,1764001132025,164,-69,-73,A72Aziz
1764001132385,1764001132138,165,-247,-68,A72Aziz
1764001133566,1764001133147,169,-419,-70,A72Aziz
1764001136811,1764001137526,180,715,-71,A72Aziz
1764001137992,1764001138641,184,649,-73,A72Aziz
1764001139174,1764001139779,188,605,-67,A72Aziz
1764001140958,1764001141835,194,877,-68,A72Aziz
1764001141254,1764001141023,195,-231,-71,A72Aziz
1764001142143,1764001142991,198,848,-70,A72Aziz
1764001142438,1764001142151,199,-287,-70,A72Aziz
