tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764001776024,1764001776773,0,749,-75,A72Aziz
1764001776860,1764001777615,3,755,-67,A72Aziz
1764001777145,1764001777301,4,156,-70,A72Aziz
1764001778006,1764001778742,7,736,-74,A72Aziz
1764001778299,1764001778020,8,-279,-71,A72Aziz
1764001779186,1764001779868,11,682,-75,A72Aziz
1764001779483,1764001779149,12,-334,-77,A72Aziz
1764001780367,1764001780997,15,630,-69,A72Aziz
1764001780664,1764001780272,16,-392,-67,A72Aziz
1764001780959,1764001781554,17,595,-70,A72Aziz
1764001781255,1764001781843,18,588,-71,A72Aziz
1764001781550,1764001781117,19,-433,-70,A72Aziz
1764001781844,1764001782401,20,557,-70,A72Aziz
1764001783310,1764001783089,25,-221,-67,A72Aziz
1764001783604,1764001784363,26,759,-67,A72Aziz
1764001783900,1764001784651,27,751,-67,A72Aziz
1764001784790,1764001785534,30,744,-69,A72Aziz
1764001785083,1764001785834,31,751,-68,A72Aziz
1764001785391,1764001785053,32,-338,-68,A72Aziz
1764001785972,1764001786618,34,646,-68,A72Aziz
1764001787145,1764001787746,38,601,-70,A72Aziz
1764001787440,1764001787039,39,-401,-69,A72Aziz
1764001787736,1764001787309,40,-427,-67,A72Aziz
1764001788320,1764001788135,42,-185,-66,A72Aziz
1764001789208,1764001789034,45,-174,-68,A72Aziz
1764001789802,1764001790558,47,756,-69,A72Aziz
1764001790387,1764001790135,49,-252,-68,A72Aziz
1764001790980,1764001791676,51,696,-67,A72Aziz
1764001791572,1764001791244,53,-328,-68,A72Aziz
1764001792751,1764001793377,57,626,-68,A72Aziz
1764001793639,1764001794535,60,896,-69,A72Aziz
1764001793936,1764001794648,61,712,-70,A72Aziz
1764001795704,1764001796521,67,817,-69,A72Aziz
1764001796301,1764001796020,69,-281,-66,A72Aziz
1764001797195,1764001797866,72,671,-69,A72Aziz
1764001798082,1764001798705,75,623,-70,A72Aziz
1764001798377,1764001798995,76,618,-70,A72Aziz
1764001798966,1764001799558,78,592,-70,A72Aziz
1764001799262,1764001799832,79,570,-67,A72Aziz
1764001799558,1764001799114,80,-444,-65,A72Aziz
1764001800416,1764001800953,83,537,-70,A72Aziz
1764001801305,1764001801080,86,-225,-67,A72Aziz
1764001801602,1764001802371,87,769,-69,A72Aziz
1764001802493,1764001802204,90,-289,-69,A72Aziz
1764001802789,1764001803488,91,699,-68,A72Aziz
1764001803083,1764001803770,92,687,-67,A72Aziz
1764001803676,1764001803332,94,-344,-68,A72Aziz
1764001803971,1764001804616,95,645,-68,A72Aziz
1764001804269,1764001804902,96,633,-69,A72Aziz
1764001804564,1764001804177,97,-387,-68,A72Aziz
1764001804860,1764001805457,98,597,-69,A72Aziz
1764001805159,1764001805740,99,581,-66,A72Aziz
1764001806932,1764001807763,105,831,-69,A72Aziz
1764001807521,1764001808449,107,928,-68,A72Aziz
1764001807818,1764001808562,108,744,-70,A72Aziz
1764001808406,1764001808120,110,-286,-66,A72Aziz
1764001809291,1764001809958,113,667,-69,A72Aziz
1764001810477,1764001810082,117,-395,-66,A72Aziz
1764001811662,1764001811212,121,-450,-69,A72Aziz
1764001812554,1764001812328,124,-226,-67,A72Aziz
1764001813720,1764001814459,128,739,-67,A72Aziz
1764001814309,1764001814018,130,-291,-68,A72Aziz
1764001814903,1764001815582,132,679,-70,A72Aziz
1764001815493,1764001815143,134,-350,-69,A72Aziz
1764001816080,1764001816743,136,663,-65,A72Aziz
1764001817269,1764001817843,140,574,-70,A72Aziz
1764001819045,1764001819800,146,755,-64,A72Aziz
1764001819342,1764001819085,147,-257,-65,A72Aziz
1764001820236,1764001820928,150,692,-69,A72Aziz
1764001820530,1764001820208,151,-322,-66,A72Aziz
1764001821413,1764001821051,154,-362,-67,A72Aziz
1764001821711,1764001821340,155,-371,-69,A72Aziz
1764001822602,1764001822182,158,-420,-66,A72Aziz
1764001822901,1764001823456,159,555,-67,A72Aziz
1764001824090,1764001824869,163,779,-66,A72Aziz
1764001824686,1764001825425,165,739,-66,A72Aziz
1764001824985,1764001825706,166,721,-67,A72Aziz
1764001825876,1764001826557,169,681,-65,A72Aziz
1764001826469,1764001826119,171,-350,-65,A72Aziz
1764001827063,1764001827674,173,611,-69,A72Aziz
1764001827357,1764001827959,174,602,-68,A72Aziz
1764001827952,1764001828522,176,570,-66,A72Aziz
1764001828249,1764001828807,177,558,-67,A72Aziz
1764001829736,1764001830656,182,920,-65,A72Aziz
1764001830328,1764001830050,184,-278,-69,A72Aziz
1764001830631,1764001830335,185,-296,-69,A72Aziz
1764001831515,1764001831180,188,-335,-67,A72Aziz
1764001832116,1764001832752,190,636,-67,A72Aziz
1764001832709,1764001832343,192,-366,-68,A72Aziz
1764001833891,1764001834429,196,538,-67,A72Aziz
1764001834777,1764001835552,199,775,-68,A72Aziz
