tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764013885699,1764013885455,1,-244,-86,A72Aziz
1764013886863,1764013887860,5,997,-84,A72Aziz
1764013887169,1764013887137,6,-32,-81,A72Aziz
1764013887464,1764013887428,7,-36,-81,A72Aziz
1764013887757,1764013888700,8,943,-90,A72Aziz
1764013888051,1764013888984,9,933,-83,A72Aziz
1764013888640,1764013889558,11,918,-84,A72Aziz
1764013888933,1764013889828,12,895,-88,A72Aziz
1764013889238,1764013889108,13,-130,-86,A72Aziz
1764013889522,1764013889387,14,-135,-87,A72Aziz
1764013889810,1764013890669,15,859,-89,A72Aziz
1764013890097,1764013890949,16,852,-89,A72Aziz
1764013890385,1764013890232,17,-153,-90,A72Aziz
1764013891249,1764013891075,20,-174,-86,A72Aziz
1764013891546,1764013892568,21,1022,-87,A72Aziz
1764013891843,1764013892682,22,839,-85,A72Aziz
1764013893319,1764013893327,27,8,-84,A72Aziz
1764013893912,1764013894890,29,978,-90,A72Aziz
1764013894206,1764013894174,30,-32,-81,A72Aziz
1764013894501,1764013894448,31,-53,-84,A72Aziz
1764013895090,1764013895010,33,-80,-86,A72Aziz
1764013895682,1764013896577,35,895,-89,A72Aziz
1764013895978,1764013896149,36,171,-97,A72Aziz
1764013896273,1764013896416,37,143,-95,A72Aziz
1764013896567,1764013897697,38,1130,-84,A72Aziz
1764013896862,1764013897810,39,948,-89,A72Aziz
1764013897450,1764013897261,41,-189,-92,A72Aziz
1764013898025,1764013898840,43,815,-98,A72Aziz
1764013898618,1764013898385,45,-233,-83,A72Aziz
1764013900094,1764013900078,50,-16,-89,A72Aziz
1764013900684,1764013901634,52,950,-92,A72Aziz
1764013900977,1764013901921,53,944,-84,A72Aziz
1764013901566,1764013901482,55,-84,-87,A72Aziz
1764013901861,1764013902769,56,908,-90,A72Aziz
1764013902157,1764013902041,57,-116,-86,A72Aziz
1764013902448,1764013902323,58,-125,-85,A72Aziz
1764013902738,1764013903610,59,872,-87,A72Aziz
1764013903034,1764013903890,60,856,-87,A72Aziz
1764013903330,1764013903167,61,-163,-83,A72Aziz
1764013903625,1764013903449,62,-176,-84,A72Aziz
1764013904213,1764013904010,64,-203,-85,A72Aziz
1764013904509,1764013904291,65,-218,-87,A72Aziz
1764013904802,1764013905579,66,777,-89,A72Aziz
1764013905691,1764013906702,69,1011,-86,A72Aziz
1764013906008,1764013906982,70,974,-90,A72Aziz
1764013906303,1764013906359,71,56,-88,A72Aziz
1764013906595,1764013907831,72,1236,-86,A72Aziz
1764013906892,1764013907945,73,1053,-85,A72Aziz
1764013907187,1764013907103,74,-84,-85,A72Aziz
1764013907480,1764013907389,75,-91,-83,A72Aziz
1764013907774,1764013908680,76,906,-87,A72Aziz
1764013908068,1764013908953,77,885,-83,A72Aziz
1764013908364,1764013908250,78,-114,-87,A72Aziz
1764013909263,1764013909296,81,33,-83,A72Aziz
1764013909558,1764013909411,82,-147,-84,A72Aziz
1764013909852,1764013910633,83,781,-88,A72Aziz
1764013910147,1764013910916,84,769,-89,A72Aziz
1764013911671,1764013912607,89,936,-85,A72Aziz
1764013912262,1764013912166,91,-96,-84,A72Aziz
1764013912853,1764013913730,93,877,-86,A72Aziz
1764013913149,1764013913009,94,-140,-82,A72Aziz
1764013913447,1764013913311,95,-136,-83,A72Aziz
1764013914031,1764013914856,97,825,-84,A72Aziz
1764013914326,1764013914167,98,-159,-83,A72Aziz
1764013914621,1764013914422,99,-199,-85,A72Aziz
1764013915207,1764013915977,101,770,-86,A72Aziz
1764013916664,1764013917667,106,1003,-86,A72Aziz
1764013916960,1764013917945,107,985,-86,A72Aziz
1764013917257,1764013917240,108,-17,-86,A72Aziz
1764013917551,1764013918513,109,962,-86,A72Aziz
1764013917848,1764013918793,110,945,-85,A72Aziz
1764013918143,1764013918088,111,-55,-86,A72Aziz
1764013918437,1764013918355,112,-82,-85,A72Aziz
1764013918728,1764013919756,113,1028,-82,A72Aziz
1764013919009,1764013919043,114,34,-91,A72Aziz
1764013919603,1764013919480,116,-123,-99,A72Aziz
1764013920489,1764013920326,119,-163,-83,A72Aziz
1764013920784,1764013921611,120,827,-86,A72Aziz
1764013921078,1764013921888,121,810,-90,A72Aziz
1764013921960,1764013922907,124,947,-86,A72Aziz
1764013924024,1764013924977,131,953,-84,A72Aziz
1764013924320,1764013924265,132,-55,-87,A72Aziz
1764013924614,1764013925545,133,931,-87,A72Aziz
1764013925207,1764013925104,135,-103,-87,A72Aziz
1764013925504,1764013925383,136,-121,-83,A72Aziz
1764013925799,1764013926676,137,877,-83,A72Aziz
1764013926095,1764013926952,138,857,-89,A72Aziz
1764013926390,1764013926230,139,-160,-86,A72Aziz
1764013926688,1764013927509,140,821,-83,A72Aziz
1764013927278,1764013927071,142,-207,-81,A72Aziz
1764013927570,1764013927355,143,-215,-85,A72Aziz
1764013927865,1764013928896,144,1031,-82,A72Aziz
1764013929326,1764013929326,149,0,-85,A72Aziz
1764013929622,1764013930606,150,984,-88,A72Aziz
1764013929916,1764013930890,151,974,-83,A72Aziz
1764013930211,1764013930167,152,-44,-86,A72Aziz
1764013930518,1764013930446,153,-72,-84,A72Aziz
1764013930808,1764013931738,154,930,-86,A72Aziz
1764013931100,1764013931045,155,-55,-87,A72Aziz
1764013931689,1764013932574,157,885,-88,A72Aziz
1764013931983,1764013932854,158,871,-85,A72Aziz
1764013932259,1764013932138,159,-121,-89,A72Aziz
1764013932544,1764013932420,160,-124,-90,A72Aziz
1764013933114,1764013933980,162,866,-87,A72Aziz
1764013933411,1764013933266,163,-145,-85,A72Aziz
1764013933706,1764013934547,164,841,-85,A72Aziz
1764013934003,1764013934820,165,817,-86,A72Aziz
1764013934298,1764013934105,166,-193,-87,A72Aziz
1764013934596,1764013934393,167,-203,-90,A72Aziz
1764013935186,1764013935952,169,766,-87,A72Aziz
1764013936371,1764013936362,173,-9,-90,A72Aziz
1764013936664,1764013937639,174,975,-91,A72Aziz
1764013937261,1764013937207,176,-54,-84,A72Aziz
1764013937555,1764013937482,177,-73,-89,A72Aziz
1764013937850,1764013938765,178,915,-88,A72Aziz
1764013938146,1764013938040,179,-106,-85,A72Aziz
1764013938440,1764013938324,180,-116,-85,A72Aziz
1764013938735,1764013939604,181,869,-84,A72Aziz
1764013939032,1764013939968,182,936,-83,A72Aziz
1764013939634,1764013939454,184,-180,-86,A72Aziz
1764013939923,1764013940725,185,802,-83,A72Aziz
1764013940205,1764013940014,186,-191,-83,A72Aziz
1764013941083,1764013941852,189,769,-82,A72Aziz
1764013941979,1764013942976,192,997,-82,A72Aziz
1764013942569,1764013943546,194,977,-82,A72Aziz
1764013942862,1764013943830,195,968,-81,A72Aziz
1764013943159,1764013943110,196,-49,-82,A72Aziz
1764013943452,1764013943385,197,-67,-89,A72Aziz
1764013943747,1764013944667,198,920,-82,A72Aziz
1764013944042,1764013944949,199,907,-89,A72Aziz
1764013944334,1764013944235,200,-99,-92,A72Aziz
