tx_unix_ms(phone),rx_unix_ms(esp32),payload_counter,delta_ms,rssi_dbm,tx_device_name
1764012356766,1764012356102,0,-664,-66,A72Aziz
1764012357043,1764012357385,1,342,-65,A72Aziz
1764012357317,1764012357656,2,339,-67,A72Aziz
1764012357604,1764012357941,3,337,-67,A72Aziz
1764012357895,1764012358220,4,325,-66,A72Aziz
1764012358189,1764012358504,5,315,-67,A72Aziz
1764012358465,1764012358787,6,322,-67,A72Aziz
1764012358746,1764012358071,7,-675,-68,A72Aziz
1764012359026,1764012359395,8,369,-72,A72Aziz
1764012359304,1764012359685,9,381,-75,A72Aziz
1764012359589,1764012359908,10,319,-74,A72Aziz
1764012359871,1764012360194,11,323,-70,A72Aziz
1764012360148,1764012360478,12,330,-70,A72Aziz
1764012360427,1764012360760,13,333,-66,A72Aziz
1764012360713,1764012360036,14,-677,-66,A72Aziz
1764012361003,1764012361322,15,319,-66,A72Aziz
1764012361293,1764012361662,16,369,-66,A72Aziz
1764012361587,1764012361956,17,369,-66,A72Aziz
1764012361883,1764012362162,18,279,-63,A72Aziz
1764012362167,1764012362441,19,274,-64,A72Aziz
1764012362445,1764012362726,20,281,-64,A72Aziz
1764012362715,1764012362000,21,-715,-63,A72Aziz
1764012364179,1764012364692,26,513,-73,A72Aziz
1764012364467,1764012364975,27,508,-72,A72Aziz
1764012364748,1764012365262,28,514,-72,A72Aziz
1764012365043,1764012365532,29,489,-71,A72Aziz
1764012365340,1764012365818,30,478,-71,A72Aziz
1764012365638,1764012365095,31,-543,-71,A72Aziz
1764012365932,1764012366379,32,447,-70,A72Aziz
1764012366224,1764012366661,33,437,-66,A72Aziz
1764012366522,1764012366942,34,420,-66,A72Aziz
1764012366819,1764012367231,35,412,-66,A72Aziz
1764012367117,1764012367507,36,390,-66,A72Aziz
1764012367410,1764012367808,37,398,-66,A72Aziz
1764012368005,1764012368349,39,344,-69,A72Aziz
1764012368301,1764012368627,40,326,-70,A72Aziz
1764012368593,1764012368951,41,358,-69,A72Aziz
1764012368885,1764012369192,42,307,-68,A72Aziz
1764012369177,1764012369472,43,295,-68,A72Aziz
1764012370656,1764012371162,48,506,-67,A72Aziz
1764012370954,1764012371462,49,508,-67,A72Aziz
1764012371252,1764012371762,50,510,-67,A72Aziz
1764012371547,1764012371062,51,-485,-67,A72Aziz
1764012371846,1764012372291,52,445,-65,A72Aziz
1764012372138,1764012372571,53,433,-66,A72Aziz
1764012372428,1764012372850,54,422,-71,A72Aziz
1764012372733,1764012373247,55,514,-71,A72Aziz
1764012373029,1764012373412,56,383,-71,A72Aziz
1764012373326,1764012373695,57,369,-73,A72Aziz
1764012373622,1764012373974,58,352,-72,A72Aziz
1764012373916,1764012374262,59,346,-65,A72Aziz
1764012374212,1764012374545,60,333,-68,A72Aziz
1764012374509,1764012374820,61,311,-65,A72Aziz
1764012375985,1764012376505,66,520,-65,A72Aziz
1764012376279,1764012376783,67,504,-65,A72Aziz
1764012376571,1764012376067,68,-504,-65,A72Aziz
1764012376869,1764012377353,69,484,-68,A72Aziz
1764012377171,1764012377627,70,456,-71,A72Aziz
1764012377467,1764012377916,71,449,-69,A72Aziz
1764012377763,1764012378191,72,428,-71,A72Aziz
1764012378057,1764012378477,73,420,-68,A72Aziz
1764012378354,1764012378750,74,396,-66,A72Aziz
1764012378647,1764012378032,75,-615,-65,A72Aziz
1764012378938,1764012379320,76,382,-65,A72Aziz
1764012379239,1764012379602,77,363,-66,A72Aziz
1764012379536,1764012379885,78,349,-65,A72Aziz
1764012379832,1764012380158,79,326,-66,A72Aziz
1764012380124,1764012380439,80,315,-66,A72Aziz
1764012380421,1764012380726,81,305,-65,A72Aziz
1764012380716,1764012380000,82,-716,-66,A72Aziz
1764012381606,1764012382406,85,800,-69,A72Aziz
1764012381904,1764012382683,86,779,-69,A72Aziz
1764012382201,1764012382797,87,596,-70,A72Aziz
1764012382493,1764012383255,88,762,-71,A72Aziz
1764012382786,1764012383367,89,581,-64,A72Aziz
1764012383082,1764012383537,90,455,-64,A72Aziz
1764012383381,1764012383818,91,437,-64,A72Aziz
1764012383674,1764012383103,92,-571,-64,A72Aziz
1764012383966,1764012384383,93,417,-64,A72Aziz
1764012384261,1764012384659,94,398,-65,A72Aziz
1764012384554,1764012384945,95,391,-65,A72Aziz
1764012384848,1764012385222,96,374,-66,A72Aziz
1764012385145,1764012385503,97,358,-65,A72Aziz
1764012385443,1764012385784,98,341,-66,A72Aziz
1764012385736,1764012385068,99,-668,-65,A72Aziz
1764012386029,1764012386360,100,331,-71,A72Aziz
1764012386323,1764012386630,101,307,-70,A72Aziz
1764012386618,1764012386910,102,292,-71,A72Aziz
1764012387805,1764012388317,106,512,-64,A72Aziz
1764012388098,1764012388602,107,504,-63,A72Aziz
1764012388390,1764012388883,108,493,-63,A72Aziz
1764012388680,1764012389160,109,480,-65,A72Aziz
1764012388973,1764012389445,110,472,-64,A72Aziz
1764012389267,1764012389726,111,459,-64,A72Aziz
1764012389560,1764012389002,112,-558,-64,A72Aziz
1764012389856,1764012390289,113,433,-64,A72Aziz
1764012390441,1764012390851,115,410,-70,A72Aziz
1764012390739,1764012390131,116,-608,-70,A72Aziz
1764012391035,1764012391409,117,374,-71,A72Aziz
1764012391329,1764012391693,118,364,-70,A72Aziz
1764012391625,1764012391975,119,350,-68,A72Aziz
1764012391922,1764012392252,120,330,-65,A72Aziz
1764012392219,1764012392534,121,315,-64,A72Aziz
1764012392512,1764012392817,122,305,-64,A72Aziz
1764012392806,1764012392096,123,-710,-65,A72Aziz
1764012393984,1764012394506,127,522,-66,A72Aziz
1764012394280,1764012394782,128,502,-67,A72Aziz
1764012394579,1764012394068,129,-511,-67,A72Aziz
